CASENUM,PERNO,VEHNO,AGE_H,SEX_H,SEAT_H,PERALC_H,WEIGHT,PER_TYPE,SEAT_POS,EJECT,SEX,HOSPITAL,PER_ALCH,LOCATN,REST_SYS,PER_DRUG,IMPAIRMT,ACTION,SAF_EQMT,AIRBAG,REGION,AGE,PJ,PSU,STR_VEH,EJECT_I
110215662,1,0,26,1,0,1,269.56,5,0,8,1,1,1,12,0,1,0,27,1,8,1,26,10,2,1,8
110215662,1,1,63,1,11,1,269.56,1,11,0,1,0,1,0,1,1,0,0,0,9,1,63,10,2,0,0
110215697,1,1,82,2,11,1,27.146,1,11,0,2,0,1,0,1,1,0,0,0,9,1,82,2,2,0,0
110215697,1,2,29,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,0,1,29,2,2,0,0
110215781,1,1,16,2,11,1,53.888,1,11,0,2,0,1,0,1,1,0,0,0,9,1,16,4,2,0,0
110215781,2,1,38,1,13,0,53.888,2,13,0,1,1,0,0,1,0,0,0,0,9,1,38,4,2,0,0
110215785,1,1,17,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,17,4,2,0,0
110215791,1,1,41,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,41,9,2,0,0
110215791,2,1,39,2,13,0,57.522,2,13,0,2,1,0,0,1,0,0,0,0,9,1,39,9,2,0,0
110215791,3,1,5,1,23,0,57.522,2,23,0,1,1,0,0,2,0,0,0,0,0,1,5,9,2,0,0
110215793,1,1,18,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,18,9,2,0,0
110215795,1,1,26,2,11,1,57.522,1,11,0,2,1,1,0,1,1,0,0,0,9,1,26,9,2,0,0
110215795,1,2,58,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,58,9,2,0,0
110215808,1,1,61,1,11,1,287.612,1,11,0,1,0,1,0,1,1,0,0,0,1,1,61,9,2,0,0
110215816,1,1,33,2,11,1,89.853,1,11,0,2,0,1,0,1,1,0,0,0,9,1,33,10,2,0,0
110215816,2,1,37,1,13,0,89.853,2,13,0,1,0,0,0,1,0,0,0,0,9,1,37,10,2,0,0
110215849,1,1,20,1,11,1,213.292,1,11,0,1,0,1,0,1,1,0,0,0,9,1,20,16,2,0,0
110215849,2,1,23,2,13,0,213.292,2,13,0,2,0,0,0,1,0,0,0,0,9,1,23,16,2,0,0
110215849,1,2,42,2,11,1,213.292,1,11,0,2,0,1,0,1,1,0,0,0,9,1,42,16,2,0,0
110215849,2,2,43,2,13,0,213.292,2,13,0,2,0,0,0,1,0,0,0,0,9,1,43,16,2,0,0
110215849,3,2,17,2,21,0,213.292,2,21,0,2,0,0,0,1,0,0,0,0,0,1,17,16,2,0,0
110215849,4,2,15,1,23,0,213.292,2,23,0,1,0,0,0,1,0,0,0,0,0,1,15,16,2,0,0
110215850,1,1,62,2,11,1,106.646,1,11,0,2,0,1,0,1,1,0,0,0,9,1,62,16,2,0,0
110215850,1,2,32,2,11,1,106.646,1,11,0,2,0,1,0,1,1,0,0,0,9,1,32,16,2,0,0
110215850,2,2,27,1,13,0,106.646,2,13,0,1,0,0,0,1,0,0,0,0,9,1,27,16,2,0,0
110215850,3,2,4,1,21,0,106.646,2,21,0,1,0,0,0,6,0,0,0,0,0,1,4,16,2,0,0
110215850,4,2,1,2,23,0,106.646,2,23,0,2,0,0,0,6,0,0,0,0,0,1,1,16,2,0,0
110215889,1,1,81,1,11,1,246.404,1,11,0,1,0,1,0,1,1,0,0,0,9,1,81,6,2,0,0
110215889,2,1,38,1,13,0,246.404,2,13,0,1,0,0,0,1,0,0,0,0,9,1,38,6,2,0,0
110215890,1,1,21,2,11,2,98.562,1,11,0,2,0,2,0,1,1,98,0,0,9,1,21,6,2,0,0
110215890,2,1,22,2,13,0,98.562,2,13,0,2,1,0,0,0,0,0,0,0,9,1,22,6,2,0,0
110215905,1,1,29,1,11,1,89.853,1,11,0,1,0,1,0,1,1,0,0,0,9,1,29,10,2,0,0
110215939,1,1,31,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,9,1,31,1,2,0,0
110215939,1,2,34,1,11,1,27.146,1,11,0,1,0,1,0,1,1,0,0,0,0,1,34,1,2,0,0
110215961,1,1,31,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,31,4,2,0,0
110215961,1,2,20,2,11,1,53.888,1,11,0,2,0,1,0,1,1,0,0,0,9,1,20,4,2,0,0
110216026,1,1,29,1,11,1,271.46,1,11,0,1,0,1,0,1,1,0,0,0,0,1,29,1,2,0,0
110216026,1,2,28,2,11,1,271.46,1,11,0,2,0,1,0,1,1,0,0,0,9,1,28,1,2,0,0
110216026,2,2,43,2,13,0,271.46,2,13,0,2,0,0,0,1,0,0,0,0,9,1,43,1,2,0,0
110216026,3,2,3,2,21,0,271.46,2,21,0,2,0,0,0,6,0,0,0,0,0,1,3,1,2,0,0
110216050,1,1,50,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,50,3,2,0,0
110216050,1,2,43,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,43,3,2,0,0
110216058,1,1,17,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,17,3,2,0,0
110216058,1,2,78,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,78,3,2,0,0
110216064,1,1,17,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,17,9,2,0,0
110216064,2,1,15,2,13,0,57.522,2,13,0,2,1,0,0,1,0,0,0,0,9,1,15,9,2,0,0
110216064,1,2,39,2,11,1,57.522,1,11,0,2,0,1,0,2,1,0,0,0,0,1,39,9,2,0,0
110216064,2,2,10,2,51,0,57.522,2,51,0,2,0,0,0,7,0,0,0,0,0,1,10,9,2,0,0
110216064,3,2,6,2,51,0,57.522,2,51,0,2,0,0,0,7,0,0,0,0,0,1,6,9,2,0,0
110216066,1,1,41,1,11,2,57.522,1,11,1,1,1,2,0,0,1,98,0,0,9,1,41,9,2,0,1
110216072,1,1,37,1,11,1,287.612,1,11,0,1,0,1,0,1,1,0,0,0,9,1,37,9,2,0,0
110216107,1,1,56,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,9,1,56,2,2,0,0
110216107,1,2,38,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,38,2,2,0,0
110216107,1,3,62,2,11,1,81.438,1,11,0,2,0,1,0,1,1,0,0,0,1,1,62,2,2,0,0
110216107,2,3,94,2,13,0,81.438,2,13,0,2,0,0,0,1,0,0,0,0,9,1,94,2,2,0,0
110216107,3,3,73,2,23,0,81.438,2,23,0,2,0,0,0,0,0,0,0,0,0,1,73,2,2,0,0
110216107,1,4,62,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,62,2,2,0,0
110216148,1,1,30,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,0,1,30,4,2,0,0
110216148,1,2,49,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,49,4,2,0,0
110216154,1,1,67,1,11,1,89.853,1,11,0,1,1,1,0,1,1,0,0,0,9,1,67,10,2,0,0
110216158,1,1,28,1,11,1,89.853,1,11,0,1,1,1,0,1,1,0,0,0,9,1,28,10,2,0,0
110216159,1,1,45,2,11,1,269.56,1,11,0,2,0,1,0,1,1,0,0,0,0,1,45,10,2,0,0
110216159,2,1,5,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,3,1,5,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,4,1,5,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,5,1,5,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,6,1,5,2,51,0,269.56,2,51,0,2,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,7,1,5,2,51,0,269.56,2,51,0,2,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,8,1,5,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216159,9,1,6,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,6,10,2,0,0
110216159,10,1,6,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,6,10,2,0,0
110216159,11,1,5,1,51,0,269.56,2,51,0,1,0,0,0,7,0,0,0,0,0,1,5,10,2,0,0
110216194,1,1,20,1,11,1,98.562,1,11,0,1,0,1,0,1,1,0,0,0,9,1,20,6,2,0,0
110216194,2,1,20,2,13,0,98.562,2,13,0,2,0,0,0,0,0,0,0,0,9,1,20,6,2,0,0
110216223,1,1,16,2,11,1,98.562,1,11,0,2,0,1,0,1,1,0,0,0,9,1,16,6,2,0,0
110216237,1,1,44,2,11,1,53.888,1,11,0,2,1,1,0,1,1,0,0,0,9,1,44,4,2,0,0
110216237,1,2,63,2,11,1,53.888,1,11,0,2,1,1,0,1,1,0,0,0,9,1,63,4,2,0,0
110216237,2,2,34,1,13,0,53.888,2,13,0,1,1,0,0,1,0,0,0,0,9,1,34,4,2,0,0
110216241,1,1,31,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,31,4,2,0,0
110216250,1,1,54,2,11,1,271.46,1,11,0,2,0,1,0,1,1,0,0,0,9,1,54,3,2,0,0
110216250,1,2,68,1,11,1,271.46,1,11,0,1,0,1,0,1,1,0,0,0,9,1,68,3,2,0,0
110216301,1,1,23,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,23,9,2,0,0
110216301,1,2,36,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,36,9,2,0,0
110216301,1,3,24,2,11,1,57.522,1,11,0,2,0,1,0,1,1,0,0,0,9,1,24,9,2,0,0
110216301,1,4,44,1,11,1,57.522,1,11,0,1,0,1,0,1,1,0,0,0,9,1,44,9,2,0,0
110216301,2,4,39,1,13,0,57.522,2,13,0,1,0,0,0,1,0,0,0,0,9,1,39,9,2,0,0
110216303,1,1,51,1,11,1,287.612,1,11,0,1,0,1,0,1,1,0,0,0,9,1,51,9,2,0,0
110216321,1,1,42,2,11,1,271.46,1,11,0,2,0,1,0,1,1,0,0,0,9,1,42,3,2,0,0
110216321,2,1,6,1,13,0,271.46,2,13,0,1,0,0,0,1,0,0,0,0,9,1,6,3,2,0,0
110216321,3,1,7,2,22,0,271.46,2,22,0,2,0,0,0,2,0,0,0,0,0,1,7,3,2,0,0
110216321,1,2,43,1,11,1,271.46,1,11,0,1,0,1,0,1,1,0,0,0,9,1,43,3,2,0,0
110216321,2,2,52,1,13,0,271.46,2,13,0,1,0,0,0,1,0,0,0,0,9,1,52,3,2,0,0
110216322,1,1,39,1,11,1,57.522,1,11,0,1,1,1,0,1,1,0,0,0,9,1,39,9,2,0,0
110216377,1,1,66,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,66,1,2,0,0
110216377,2,1,65,2,13,0,81.438,2,13,0,2,0,0,0,1,0,0,0,0,9,1,65,1,2,0,0
110216377,1,2,16,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,16,1,2,0,0
110216377,2,2,16,1,13,0,81.438,2,13,0,1,0,0,0,1,0,0,0,0,9,1,16,1,2,0,0
110216377,1,3,71,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,71,1,2,0,0
110216377,1,4,20,2,11,1,81.438,1,11,0,9,0,9,0,9,9,99,0,0,9,1,999,1,2,0,0
110216390,1,1,18,1,11,1,81.438,1,11,0,1,0,1,0,1,1,0,0,0,9,1,18,3,2,0,0
110216394,1,1,17,1,11,1,81.438,1,11,0,1,0,9,0,9,9,99,0,0,9,1,17,3,2,0,0
110216394,2,1,30,1,13,0,81.438,2,99,0,1,0,0,0,9,0,0,0,0,9,1,30,3,2,0,0
110216394,3,1,17,1,13,0,81.438,2,99,0,1,1,0,0,9,0,0,0,0,9,1,17,3,2,0,0
110216394,4,1,15,1,23,0,81.438,2,23,0,1,1,0,0,9,0,0,0,0,0,1,15,3,2,0,0
110216402,1,1,60,1,11,1,98.562,1,11,0,1,0,1,0,1,1,0,0,0,9,1,60,6,2,0,0
110216424,1,1,18,1,11,1,53.888,1,11,0,1,0,1,0,1,1,0,0,0,9,1,18,4,2,0,0
110216424,1,2,58,2,11,1,53.888,1,11,0,2,0,1,0,1,1,0,0,0,9,1,58,4,2,0,0
